                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.7046,                 2.8831,                 3.3253,                0.03241,                0.06311,                0.01332,                0.00594,                 2.2324,                 4.5323,                 3.7649,             0.00055312,             0.00055312,             0.00055312
                      1,                 1.5059,                 1.7118,                 2.0487,                 0.3841,                0.46741,                0.35093,                0.21517,                  1.441,                 1.9612,                 2.4688,              0.0010722,              0.0010722,              0.0010722
                      2,                 1.2335,                 1.3607,                 1.7511,                0.69872,                0.66402,                0.70629,                0.46079,                 1.1583,                 1.4737,                 2.0259,              0.0015546,              0.0015546,              0.0015546
                      3,                 1.0632,                 1.1512,                 1.5947,                 0.7629,                0.68277,                0.77335,                0.55506,                0.97696,                 1.0662,                 1.8655,               0.001502,               0.001502,               0.001502
                      4,                0.98631,                 1.0474,                 1.5202,                 0.7596,                0.78143,                 0.8047,                  0.596,                0.85353,                0.97964,                 1.6766,               0.001502,               0.001502,               0.001502
                      5,                0.91525,                0.95793,                 1.4553,                0.88272,                0.79556,                0.85704,                0.65069,                 0.8323,                0.82925,                 1.6789,               0.001447,               0.001447,               0.001447
                      6,                0.86943,                0.89523,                 1.4195,                0.82311,                0.74712,                0.82205,                0.65001,                 0.7653,                0.85344,                 1.5729,              0.0013919,              0.0013919,              0.0013919
                      7,                0.80925,                0.82511,                 1.3686,                0.88879,                0.83287,                0.89553,                0.71951,                0.74083,                 0.7277,                  1.542,              0.0013369,              0.0013369,              0.0013369
                      8,                 0.7803,                0.80346,                 1.3511,                 0.9073,                0.82384,                0.89949,                0.73922,                0.66662,                0.65694,                   1.47,              0.0012819,              0.0012819,              0.0012819
                      9,                0.75232,                0.75379,                 1.3186,                0.87489,                0.82987,                0.90203,                0.72254,                0.71331,                0.62772,                 1.5178,              0.0012269,              0.0012269,              0.0012269
                     10,                0.72286,                0.70109,                 1.3041,                0.89352,                0.83649,                0.90645,                0.74517,                0.66738,                0.64069,                 1.4659,              0.0011719,              0.0011719,              0.0011719
                     11,                0.70512,                 0.6775,                 1.2818,                0.90407,                0.81623,                0.89033,                0.72968,                 0.6632,                0.61466,                 1.4716,              0.0011169,              0.0011169,              0.0011169
                     12,                0.67544,                0.65176,                 1.2552,                0.91193,                0.80349,                0.89217,                0.72469,                0.68294,                0.67725,                 1.4972,              0.0010619,              0.0010619,              0.0010619
                     13,                0.65758,                0.62426,                 1.2471,                0.94957,                0.84587,                0.92036,                 0.7809,                0.59481,                0.54046,                 1.3718,              0.0010069,              0.0010069,              0.0010069
                     14,                 0.6362,                0.59655,                 1.2259,                0.92238,                0.85739,                 0.9077,                0.78727,                0.56231,                0.55091,                 1.3544,             0.00095186,             0.00095186,             0.00095186
                     15,                0.63257,                0.58722,                 1.2232,                0.91591,                0.86951,                 0.9152,                0.78832,                0.57288,                0.52937,                 1.3694,             0.00089685,             0.00089685,             0.00089685
                     16,                 0.6125,                0.56706,                 1.2043,                0.92472,                0.85017,                0.91578,                 0.7874,                 0.5774,                0.54597,                 1.3764,             0.00084184,             0.00084184,             0.00084184
                     17,                0.60689,                0.55377,                  1.196,                0.94135,                 0.8619,                0.92874,                0.80932,                 0.5406,                0.48203,                 1.3447,             0.00078682,             0.00078682,             0.00078682
                     18,                0.59081,                0.53402,                 1.1877,                0.94602,                0.87464,                0.92716,                0.81693,                 0.5275,                0.47998,                 1.3212,             0.00073181,             0.00073181,             0.00073181
                     19,                0.57422,                0.51547,                 1.1755,                0.93647,                0.85601,                0.92615,                0.80397,                0.54346,                0.50547,                 1.3615,              0.0006768,              0.0006768,              0.0006768
                     20,                0.55216,                0.48983,                 1.1594,                0.95306,                0.85943,                0.93235,                0.81946,                0.51944,                0.46757,                 1.3147,             0.00062179,             0.00062179,             0.00062179
                     21,                0.54998,                0.48463,                 1.1555,                0.95187,                0.88043,                0.93497,                0.82527,                 0.5008,                0.44025,                 1.2927,             0.00056678,             0.00056678,             0.00056678
                     22,                0.53969,                0.46694,                 1.1451,                0.94672,                0.87615,                0.93178,                0.82222,                0.50979,                0.46818,                 1.2976,             0.00051177,             0.00051177,             0.00051177
                     23,                0.53003,                0.46074,                 1.1381,                0.96273,                0.87085,                0.93655,                0.83571,                  0.483,                0.41763,                 1.2815,             0.00045676,             0.00045676,             0.00045676
                     24,                0.51855,                0.44679,                 1.1303,                0.95132,                0.87633,                0.93305,                0.83018,                0.49659,                  0.448,                 1.2833,             0.00040175,             0.00040175,             0.00040175
                     25,                0.50507,                0.42931,                 1.1208,                0.94257,                0.88406,                0.93681,                0.83493,                0.48112,                0.42452,                  1.275,             0.00034674,             0.00034674,             0.00034674
                     26,                0.49119,                0.41619,                 1.1109,                0.96184,                 0.8739,                0.93539,                0.84248,                0.46991,                0.42641,                 1.2669,             0.00029172,             0.00029172,             0.00029172
                     27,                0.47644,                0.40552,                 1.1041,                0.95321,                0.88003,                0.93646,                0.83718,                0.47073,                0.41959,                  1.267,             0.00023671,             0.00023671,             0.00023671
                     28,                0.46418,                0.38588,                 1.0899,                0.95654,                0.87906,                0.93676,                0.84199,                0.46043,                0.40837,                 1.2566,              0.0001817,              0.0001817,              0.0001817
                     29,                0.45735,                0.38354,                 1.0843,                0.96977,                0.87906,                0.93605,                0.83965,                0.45728,                0.40196,                  1.257,             0.00012669,             0.00012669,             0.00012669
